position	counts	peaker
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	2	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	12	0
29	0	0
30	13	0
31	0	0
32	0	0
33	24	0
34	0	0
35	0	0
36	14	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	1	0
46	0	0
47	0	0
48	0	0
49	0	0
50	7	0
51	1	0
52	1	0
53	14	0
54	0	0
55	1	0
56	0	0
57	1	0
58	2	0
59	0	0
60	0	0
61	1	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	1	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	1	0
94	0	0
95	0	0
96	1	0
97	1	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	2	0
106	0	0
107	1	0
108	2	0
109	4	0
110	0	0
111	0	0
112	0	0
113	2	0
114	1	0
115	0	0
116	1	0
117	0	0
118	9	0
119	5	0
120	13	0
121	0	0
122	41	0
123	8	0
124	2	0
125	7	0
126	73	0
127	12	0
128	2	0
129	1	0
130	4	0
131	4	0
132	2	0
133	4	0
134	11	0
135	1	0
136	2	0
137	0	0
138	2	0
139	5	0
140	34	0
141	16	0
142	17	0
143	28	0
144	34	0
145	5	0
146	75	0
147	556	0
148	79	0
149	328	0
150	7014	7014
151	1673	0
152	2870	0
153	1109	0
154	105	0
155	64	0
156	47	0
157	43	0
158	41	0
159	63	0
160	39	0
161	43	0
162	19	0
163	11	0
164	49	0
165	147	0
166	392	392
167	73	0
168	57	0
169	40	0
170	20	0
171	17	0
172	14	0
173	4	0
174	41	0
175	6	0
176	10	0
177	3	0
178	5	0
179	2	0
180	1	0
181	2	0
182	6	0
183	3	0
184	1	0
185	0	0
186	1	0
187	1	0
188	2	0
189	1	0
190	2	0
191	0	0
192	1	0
193	1	0
194	0	0
195	0	0
196	0	0
197	1	0
198	1	0
199	3	0
200	4	0
201	1	0
202	3	0
203	3	0
204	1	0
205	1	0
206	4	0
207	4	0
208	6	0
209	1	0
210	3	0
211	3	0
212	4	0
213	3	0
214	6	0
215	3	0
216	1	0
217	4	0
218	3	0
219	2	0
220	0	0
221	0	0
222	330	330
